,Coefficient,Std Error,Z-Statistic,P-Value,CI Lower,CI Upper,Significance,Odds Ratio
const,2.7755,0.354,7.8406,0.0,2.0817,3.4693,True,16.0466
Age,-0.0221,0.0017,-13.2879,0.0,-0.0254,-0.0189,True,0.9781
Employed,-2.1295,0.0401,-53.1009,0.0,-2.2082,-2.0509,True,0.1189
Income,0.0,0.0,12.9796,0.0,0.0,0.0,True,1.0
Debt,-0.0,0.0,-8.5052,0.0,-0.0,-0.0,True,1.0
Debt to Income,0.233,0.0445,5.2369,0.0,0.1458,0.3202,True,1.2624
Utilization Rate,0.9339,0.1059,8.8212,0.0,0.7264,1.1414,True,2.5443
LTV,0.9178,0.1581,5.8043,0.0,0.6079,1.2278,True,2.5039
Risk Rating,0.0251,0.0435,0.5771,0.5639,-0.0602,0.1104,False,1.0254
Fico,-0.0083,0.0004,-22.9257,0.0,-0.009,-0.0076,True,0.9917
Balance,0.0,0.0,8.0377,0.0,0.0,0.0,True,1.0
